Open,High,Low,Close,Volume
0.48556796,0.5106198,0.50254595,0.5107826,0.50113165
0.47398463,0.5146944,0.5067564,0.5199089,0.5002311
0.461289,0.5188874,0.4936974,0.53102046,0.50747013
0.44954285,0.52737314,0.49246863,0.5410837,0.5042177
0.43736616,0.53414166,0.47926626,0.5612882,0.50973934
0.4283193,0.5393362,0.4699879,0.57163584,0.5134666
0.4279701,0.5406867,0.46553126,0.5757057,0.5130572
0.41688734,0.5471159,0.47079673,0.5890453,0.5128254
0.39405584,0.55808526,0.458859,0.6055977,0.52105767
0.37832832,0.568622,0.44195434,0.62685734,0.520517
0.3735942,0.57057863,0.4325679,0.63382715,0.52125317
0.37305528,0.5704009,0.43890753,0.63724667,0.52512753
0.3473961,0.578058,0.42174,0.6465556,0.5421015
0.34554064,0.5856784,0.42096996,0.6531172,0.5406791
0.3488953,0.58776313,0.43646455,0.6565069,0.530678
0.3374155,0.5934382,0.42355844,0.67410684,0.5372683
0.3365593,0.5974996,0.43621102,0.67826027,0.5315045
0.33321935,0.59794307,0.42524117,0.68311906,0.5356232
0.33541438,0.5951771,0.42173386,0.68196887,0.5390548
0.33400345,0.59336793,0.41713864,0.6800731,0.5435786
0.3294827,0.6015017,0.4246819,0.68424857,0.5401266
0.31546718,0.60959595,0.40375832,0.700503,0.5490019
0.31498805,0.6137238,0.40664417,0.70059556,0.5421156
0.30898485,0.61564857,0.40845543,0.7006287,0.54615295
0.29657596,0.62456465,0.40174764,0.70383126,0.5438897
0.300431,0.6248668,0.3942425,0.71591973,0.5506435
0.29260883,0.6244552,0.38782874,0.7112263,0.5536635
0.29240218,0.63145953,0.38018906,0.71772504,0.5499605
0.30043617,0.6279639,0.38666993,0.71182877,0.54312927
0.2974104,0.62354493,0.38102686,0.7063342,0.55264133
